,accuracy,args,target_market,feature_used
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 7}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 1}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 2}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 8}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 6}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 3}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 5}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 7}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 2}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 8}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 10}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 5}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 9}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 6}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 4}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.001, 'solver': 'auto', 'random_state': 10}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 1}",MNT,"('NZD', 'NZX MidCap')"
0,0.6008869179600886,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': True, 'tol': 0.0001, 'solver': 'sag', 'random_state': 9}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 7}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 2}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 5}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 8}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 9}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 3}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 4}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 6}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'auto', 'random_state': 10}",MNT,"('NZD', 'NZX MidCap')"
0,0.6097560975609756,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'sag', 'random_state': 1}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'sag', 'random_state': 2}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'sag', 'random_state': 4}",MNT,"('NZD', 'NZX MidCap')"
0,0.6097560975609756,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'sag', 'random_state': 3}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'sag', 'random_state': 6}",MNT,"('NZD', 'NZX MidCap')"
0,0.6119733924611973,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.1, 'solver': 'auto', 'random_state': 1}",MNT,"('NZD', 'NZX MidCap')"
0,0.6097560975609756,"{'alpha': 0.001, 'fit_intercept': True, 'normalize': False, 'tol': 0.01, 'solver': 'sag', 'random_state': 5}",MNT,"('NZD', 'NZX MidCap')"
